coordinates,sentiment
"[[[-80.737408, 27.910056], [-80.737408, 28.063838], [-80.566228, 28.063838], [-80.566228, 27.910056]]]",negative
"[[[-91.51308, 36.970298], [-91.51308, 42.508303], [-87.019935, 42.508303], [-87.019935, 36.970298]]]",positive
"[[[-91.611057, 41.599181], [-91.611057, 41.695526], [-91.463067, 41.695526], [-91.463067, 41.599181]]]",negative
"[[[-106.645646, 25.837092], [-106.645646, 36.500695], [-93.508131, 36.500695], [-93.508131, 25.837092]]]",negative
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",positive
"[[[-84.395235, 33.771232], [-84.395235, 33.802198], [-84.364585, 33.802198], [-84.364585, 33.771232]]]",positive
"[[[-77.081398, 38.763609], [-77.081398, 38.792561], [-77.044219, 38.792561], [-77.044219, 38.763609]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",negative
"[[[-85.404424, 34.983674], [-85.404424, 35.200235], [-85.080704, 35.200235], [-85.080704, 34.983674]]]",negative
"[[[-112.323914, 33.29026], [-112.323914, 33.815465], [-111.925439, 33.815465], [-111.925439, 33.29026]]]",negative
"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",positive
"[[[-122.514926, 37.708075], [-122.514926, 37.833238], [-122.357031, 37.833238], [-122.357031, 37.708075]]]",neutral
"[[[-95.823268, 29.522325], [-95.823268, 30.154665], [-95.069705, 30.154665], [-95.069705, 29.522325]]]",negative
"[[[-121.312069, 38.769833], [-121.312069, 38.840837], [-121.189258, 38.840837], [-121.189258, 38.769833]]]",positive
"[[[-102.051769, 36.99311], [-102.051769, 40.003282], [-94.588081, 40.003282], [-94.588081, 36.99311]]]",positive
"[[[-106.10308, 35.586659], [-106.10308, 35.726444], [-105.895133, 35.726444], [-105.895133, 35.586659]]]",negative
"[[[-85.605166, 30.355644], [-85.605166, 35.000771], [-80.742567, 35.000771], [-80.742567, 30.355644]]]",positive
"[[[-73.727776, 40.950918], [-73.727776, 42.050588], [-71.78699399999999, 42.050588], [-71.78699399999999, 40.950918]]]",negative
"[[[-86.274689, 35.331544], [-86.274689, 35.415852], [-86.16948, 35.415852], [-86.16948, 35.331544]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",neutral
"[[[-117.071232, 33.685766], [-117.071232, 33.772991], [-116.908609, 33.772991], [-116.908609, 33.685766]]]",positive
"[[[-75.563587, 38.788657], [-75.563587, 41.357424], [-73.88506, 41.357424], [-73.88506, 38.788657]]]",neutral
"[[[-90.770058, 38.721075], [-90.770058, 38.784815], [-90.699865, 38.784815], [-90.699865, 38.721075]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",positive
"[[[-84.241116, 35.806025], [-84.241116, 35.917782], [-84.119998, 35.917782], [-84.119998, 35.806025]]]",negative
"[[[-116.512815, 43.680911], [-116.512815, 43.717526], [-116.468462, 43.717526], [-116.468462, 43.680911]]]",neutral
"[[[-71.084335, 42.917127], [-71.084335, 47.459687], [-66.885075, 47.459687], [-66.885075, 42.917127]]]",negative
"[[[-115.161846, 36.167733], [-115.161846, 36.167733], [-115.161846, 36.167733], [-115.161846, 36.167733]]]",neutral
"[[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]]",neutral
"[[[-106.10308, 35.586659], [-106.10308, 35.726444], [-105.895133, 35.726444], [-105.895133, 35.586659]]]",positive
"[[[7.045255, 6.1945500000000004], [7.045255, 6.250531], [7.110386, 6.250531], [7.110386, 6.1945500000000004]]]",negative
"[[[-73.508143, 41.187054], [-73.508143, 42.886824], [-69.858861, 42.886824], [-69.858861, 41.187054]]]",negative
"[[[-112.62655, 33.355798], [-112.62655, 33.515442], [-112.461428, 33.515442], [-112.461428, 33.355798]]]",neutral
"[[[-73.867804, 41.120546], [-73.867804, 41.164726], [-73.8106, 41.164726], [-73.8106, 41.120546]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",negative
"[[[-64.237659, 43.366298], [-64.237659, 45.27617], [-59.385802, 45.27617], [-59.385802, 43.366298]]]",negative
"[[[-79.76259, 40.477383], [-79.76259, 45.015851], [-71.777492, 45.015851], [-71.777492, 40.477383]]]",neutral
"[[[-106.10308, 35.586659], [-106.10308, 35.726444], [-105.895133, 35.726444], [-105.895133, 35.586659]]]",positive
"[[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]]",negative
"[[[-84.321948, 33.752879], [-84.321948, 36.588118], [-75.40012, 36.588118], [-75.40012, 33.752879]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",negative
"[[[-83.200169, 39.832013], [-83.200169, 40.157354], [-82.771375, 40.157354], [-82.771375, 39.832013]]]",positive
"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",negative
"[[[-97.034184, 32.771786], [-97.034184, 32.956048], [-96.888782, 32.956048], [-96.888782, 32.771786]]]",negative
"[[[-102.051769, 36.99311], [-102.051769, 40.003282], [-94.588081, 40.003282], [-94.588081, 36.99311]]]",positive
"[[[-96.977527, 32.620678], [-96.977527, 33.019039], [-96.54598, 33.019039], [-96.54598, 32.620678]]]",negative
"[[[-106.645646, 25.837092], [-106.645646, 36.500695], [-93.508131, 36.500695], [-93.508131, 25.837092]]]",positive
"[[[-80.232739, 27.127705], [-80.232739, 27.153367], [-80.206865, 27.153367], [-80.206865, 27.127705]]]",negative
"[[[-73.727776, 40.950918], [-73.727776, 42.050588], [-71.78699399999999, 42.050588], [-71.78699399999999, 40.950918]]]",positive
"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",neutral
"[[[-85.605166, 30.355644], [-85.605166, 35.000771], [-80.742567, 35.000771], [-80.742567, 30.355644]]]",positive
"[[[-112.323914, 33.29026], [-112.323914, 33.815465], [-111.925439, 33.815465], [-111.925439, 33.29026]]]",neutral
"[[[-115.161846, 36.167733], [-115.161846, 36.167733], [-115.161846, 36.167733], [-115.161846, 36.167733]]]",neutral
"[[[-97.576154, 30.500251], [-97.576154, 30.569311], [-97.527116, 30.569311], [-97.527116, 30.500251]]]",negative
"[[[-112.508916, 33.317555], [-112.508916, 33.50819], [-112.341035, 33.50819], [-112.341035, 33.317555]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",neutral
"[[[-3.489611, 56.376686], [-3.489611, 56.419651], [-3.3996750000000002, 56.419651], [-3.3996750000000002, 56.376686]]]",positive
"[[[-77.081398, 38.763609], [-77.081398, 38.792561], [-77.044219, 38.792561], [-77.044219, 38.763609]]]",positive
"[[[6.778614, 8.45044], [6.778614, 9.434527], [7.727478, 9.434527], [7.727478, 8.45044]]]",negative
"[[[-124.703541, 41.991795], [-124.703541, 46.299078], [-116.463262, 46.299078], [-116.463262, 41.991795]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",positive
"[[[-87.022482, 35.994568], [-87.022482, 36.405448], [-86.560616, 36.405448], [-86.560616, 35.994568]]]",negative
"[[[-122.324818, 37.845953], [-122.324818, 37.905738], [-122.234225, 37.905738], [-122.234225, 37.845953]]]",negative
"[[[-90.310298, 34.982924], [-90.310298, 36.678119], [-81.646901, 36.678119], [-81.646901, 34.982924]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",negative
"[[[-81.241886, 28.622785], [-81.241886, 28.692232], [-81.13398, 28.692232], [-81.13398, 28.622785]]]",positive
"[[[-89.57151, 36.497129], [-89.57151, 39.147359], [-81.964971, 39.147359], [-81.964971, 36.497129]]]",neutral
"[[[-122.790065, 45.421863], [-122.790065, 45.650941], [-122.471751, 45.650941], [-122.471751, 45.421863]]]",neutral
"[[[-74.051185, 41.030804], [-74.051185, 41.08029], [-73.963642, 41.08029], [-73.963642, 41.030804]]]",neutral
"[[[-84.710722, 39.052962], [-84.710722, 39.221114], [-84.368903, 39.221114], [-84.368903, 39.052962]]]",positive
"[[[-87.733451, 42.019151], [-87.733451, 42.071723], [-87.66494, 42.071723], [-87.66494, 42.019151]]]",positive
"[[[-77.081398, 38.763609], [-77.081398, 38.792561], [-77.044219, 38.792561], [-77.044219, 38.763609]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",negative
"[[[-75.563587, 38.788657], [-75.563587, 41.357424], [-73.88506, 41.357424], [-73.88506, 38.788657]]]",positive
"[[[-79.76259, 40.477383], [-79.76259, 45.015851], [-71.777492, 45.015851], [-71.777492, 40.477383]]]",negative
"[[[-80.706074, 28.03509], [-80.706074, 28.200658], [-80.593324, 28.200658], [-80.593324, 28.03509]]]",negative
"[[[-158.200392, 21.428803], [-158.200392, 21.478996], [-158.145479, 21.478996], [-158.145479, 21.428803]]]",neutral
"[[[-84.19397, 35.831436], [-84.19397, 36.133505], [-83.733713, 36.133505], [-83.733713, 35.831436]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",negative
"[[[-112.323914, 33.29026], [-112.323914, 33.815465], [-111.925439, 33.815465], [-111.925439, 33.29026]]]",negative
"[[[-159.390295, 21.946465], [-159.390295, 21.995001], [-159.329778, 21.995001], [-159.329778, 21.946465]]]",positive
"[[[-122.337717, 47.802196], [-122.337717, 47.853772], [-122.262542, 47.853772], [-122.262542, 47.802196]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",positive
"[[[-83.200169, 39.832013], [-83.200169, 40.157354], [-82.771375, 40.157354], [-82.771375, 39.832013]]]",negative
"[[[-87.995118, 42.129664], [-87.995118, 42.210544], [-87.897352, 42.210544], [-87.897352, 42.129664]]]",negative
"[[[-106.645646, 25.837092], [-106.645646, 36.500695], [-93.508131, 36.500695], [-93.508131, 25.837092]]]",negative
"[[[-122.324818, 37.845953], [-122.324818, 37.905738], [-122.234225, 37.905738], [-122.234225, 37.845953]]]",negative
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",positive
"[[[-116.369935, 34.105264], [-116.369935, 34.149567], [-116.299818, 34.149567], [-116.299818, 34.105264]]]",negative
"[[[-77.443065, 38.61099], [-77.443065, 38.68125], [-77.274813, 38.68125], [-77.274813, 38.61099]]]",positive
"[[[-82.670558, 39.681924], [-82.670558, 39.792026], [-82.522696, 39.792026], [-82.522696, 39.681924]]]",neutral
"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",negative
"[[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]",negative
"[[[-84.286258, 33.985534], [-84.286258, 34.0905], [-84.097879, 34.0905], [-84.097879, 33.985534]]]",positive
"[[[-71.084335, 42.917127], [-71.084335, 47.459687], [-66.885075, 47.459687], [-66.885075, 42.917127]]]",neutral
"[[[-80.274706, 27.103238], [-80.274706, 27.205663], [-80.196472, 27.205663], [-80.196472, 27.103238]]]",negative
"[[[-72.742942, 41.801399], [-72.742942, 41.926746], [-72.624711, 41.926746], [-72.624711, 41.801399]]]",negative
"[[[-73.560512, 40.743142], [-73.560512, 40.793139], [-73.499673, 40.793139], [-73.499673, 40.743142]]]",positive
"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",negative
"[[[-122.959983, 49.175445], [-122.959983, 49.238058], [-122.875033, 49.238058], [-122.875033, 49.175445]]]",negative
"[[[-58.491052, -34.980163], [-58.491052, -30.085693], [-53.071505, -30.085693], [-53.071505, -34.980163]]]",positive
"[[[-90.59217, 38.54757], [-90.59217, 38.624853], [-90.509959, 38.624853], [-90.509959, 38.54757]]]",negative
"[[[-122.790065, 45.421863], [-122.790065, 45.650941], [-122.471751, 45.650941], [-122.471751, 45.421863]]]",positive
"[[[-111.842244, 33.204608], [-111.842244, 33.385822], [-111.634889, 33.385822], [-111.634889, 33.204608]]]",positive
"[[[-96.977527, 32.620678], [-96.977527, 33.019039], [-96.54598, 33.019039], [-96.54598, 32.620678]]]",neutral
"[[[-106.645646, 25.837092], [-106.645646, 36.500695], [-93.508131, 36.500695], [-93.508131, 25.837092]]]",positive
"[[[-71.084335, 42.917127], [-71.084335, 47.459687], [-66.885075, 47.459687], [-66.885075, 42.917127]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",positive
"[[[-118.627874, 34.347483], [-118.627874, 34.483779], [-118.378643, 34.483779], [-118.378643, 34.347483]]]",positive
"[[[-96.605443, 33.260111], [-96.605443, 33.310683], [-96.53793, 33.310683], [-96.53793, 33.260111]]]",negative
"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",negative
"[[[-73.503654, 40.761594], [-73.503654, 40.805439], [-73.444446, 40.805439], [-73.444446, 40.761594]]]",negative
"[[[-87.022482, 35.994568], [-87.022482, 36.405448], [-86.560616, 36.405448], [-86.560616, 35.994568]]]",negative
"[[[-74.302459, 40.113353], [-74.302459, 40.15691], [-74.241608, 40.15691], [-74.241608, 40.113353]]]",positive
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",positive
"[[[-117.084304, 32.927402], [-117.084304, 33.043179], [-116.985751, 33.043179], [-116.985751, 32.927402]]]",positive
"[[[13.088304, 52.338079], [13.088304, 52.675323], [13.760909, 52.675323], [13.760909, 52.338079]]]",positive
"[[[-117.399853, 33.152639], [-117.399853, 33.299993], [-117.241905, 33.299993], [-117.241905, 33.152639]]]",negative
"[[[-75.130194, 39.698642], [-75.130194, 39.804669], [-75.015244, 39.804669], [-75.015244, 39.698642]]]",positive
"[[[-71.092873, 41.882371], [-71.092873, 41.987979], [-70.991057, 41.987979], [-70.991057, 41.882371]]]",neutral
"[[[-90.310298, 34.982924], [-90.310298, 36.678119], [-81.646901, 36.678119], [-81.646901, 34.982924]]]",neutral
"[[[-73.560512, 40.743142], [-73.560512, 40.793139], [-73.499673, 40.793139], [-73.499673, 40.743142]]]",positive
"[[[-87.626729, 33.098411], [-87.626729, 33.29479], [-87.440084, 33.29479], [-87.440084, 33.098411]]]",neutral
"[[[-81.507905, 28.388218], [-81.507905, 28.615139], [-81.22764, 28.615139], [-81.22764, 28.388218]]]",positive
"[[[-93.329515, 44.889964], [-93.329515, 45.051257], [-93.194578, 45.051257], [-93.194578, 44.889964]]]",positive
"[[[-112.323914, 33.29026], [-112.323914, 33.815465], [-111.925439, 33.815465], [-111.925439, 33.29026]]]",negative
"[[[-83.200169, 39.832013], [-83.200169, 40.157354], [-82.771375, 40.157354], [-82.771375, 39.832013]]]",neutral
"[[[-119.951478, 38.956953], [-119.951478, 38.975719], [-119.93504, 38.975719], [-119.93504, 38.956953]]]",negative
"[[[173.820328, -39.296043], [173.820328, -38.706486], [174.862896, -38.706486], [174.862896, -39.296043]]]",positive
"[[[-73.773921, 43.095818], [-73.773921, 43.189545], [-73.712317, 43.189545], [-73.712317, 43.095818]]]",negative
"[[[-97.576154, 30.500251], [-97.576154, 30.569311], [-97.527116, 30.569311], [-97.527116, 30.500251]]]",neutral
"[[[-105.301776, 39.953552], [-105.301776, 40.094411], [-105.183597, 40.094411], [-105.183597, 39.953552]]]",negative
"[[[-6.387438, 53.298745], [-6.387438, 53.41106], [-6.107805, 53.41106], [-6.107805, 53.298745]]]",neutral
"[[[-81.507905, 28.388218], [-81.507905, 28.615139], [-81.22764, 28.615139], [-81.22764, 28.388218]]]",negative
"[[[-111.056888, 40.994746], [-111.056888, 45.005904], [-104.052236, 45.005904], [-104.052236, 40.994746]]]",negative
"[[[-112.323914, 33.29026], [-112.323914, 33.815465], [-111.925439, 33.815465], [-111.925439, 33.29026]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",negative
"[[[-74.25136, 40.679997], [-74.25136, 40.788991], [-74.118336, 40.788991], [-74.118336, 40.679997]]]",negative
"[[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.5180100000000003, 40.643518], [-3.5180100000000003, 40.312071]]]",positive
"[[[-81.507905, 28.388218], [-81.507905, 28.615139], [-81.22764, 28.615139], [-81.22764, 28.388218]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",neutral
"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",negative
"[[[-72.956119, 40.740523], [-72.956119, 40.766108], [-72.92877, 40.766108], [-72.92877, 40.740523]]]",negative
"[[[-122.514926, 37.708075], [-122.514926, 37.833238], [-122.357031, 37.833238], [-122.357031, 37.708075]]]",positive
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",negative
"[[[-109.050173, 31.332176], [-109.050173, 37.000294], [-103.002065, 37.000294], [-103.002065, 31.332176]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",positive
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",positive
"[[[-97.034184, 32.771786], [-97.034184, 32.956048], [-96.888782, 32.956048], [-96.888782, 32.771786]]]",negative
"[[[-80.297165, 25.627038], [-80.297165, 25.771859], [-80.245009, 25.771859], [-80.245009, 25.627038]]]",positive
"[[[-71.191421, 42.227797], [-71.191421, 42.399542], [-70.986004, 42.399542], [-70.986004, 42.227797]]]",positive
"[[[-112.577282, 45.90777], [-112.577282, 46.026148], [-112.456673, 46.026148], [-112.456673, 45.90777]]]",positive
"[[[-85.605166, 30.355644], [-85.605166, 35.000771], [-80.742567, 35.000771], [-80.742567, 30.355644]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",negative
"[[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]",neutral
"[[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]",negative
"[[[-112.323914, 33.29026], [-112.323914, 33.815465], [-111.925439, 33.815465], [-111.925439, 33.29026]]]",positive
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",positive
"[[[-97.512109, 32.647286], [-97.512109, 32.723883], [-97.411765, 32.723883], [-97.411765, 32.647286]]]",negative
"[[[-80.207047, 25.972852], [-80.207047, 25.997497], [-80.11721, 25.997497], [-80.11721, 25.972852]]]",neutral
"[[[-79.639319, 43.403221], [-79.639319, 43.855401], [-78.90582, 43.855401], [-78.90582, 43.403221]]]",neutral
"[[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]",negative
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",positive
"[[[-90.67755, 38.700023], [-90.67755, 38.815652], [-90.523651, 38.815652], [-90.523651, 38.700023]]]",positive
"[[[-88.097892, 37.771743], [-88.097892, 41.761368], [-84.78458, 41.761368], [-84.78458, 37.771743]]]",negative
"[[[-121.331355, 38.663673], [-121.331355, 38.722779], [-121.242804, 38.722779], [-121.242804, 38.663673]]]",positive
"[[[-90.237612, 29.968359], [-90.237612, 30.034129], [-90.119647, 30.034129], [-90.119647, 29.968359]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",positive
"[[[-75.563587, 38.788657], [-75.563587, 41.357424], [-73.88506, 41.357424], [-73.88506, 38.788657]]]",neutral
"[[[-118.017789, 33.788913], [-118.017789, 33.896813], [-117.684389, 33.896813], [-117.684389, 33.788913]]]",negative
"[[[-94.053284, 29.823923], [-94.053284, 29.979166], [-93.858553, 29.979166], [-93.858553, 29.823923]]]",negative
"[[[-96.37703, 30.520359], [-96.37703, 30.650584], [-96.206267, 30.650584], [-96.206267, 30.520359]]]",positive
"[[[-122.253717, 47.423263], [-122.253717, 47.539933], [-122.135079, 47.539933], [-122.135079, 47.423263]]]",neutral
"[[[-94.649333, 38.846807], [-94.649333, 38.984379], [-94.607883, 38.984379], [-94.607883, 38.846807]]]",negative
"[[[-87.022482, 35.994568], [-87.022482, 36.405448], [-86.560616, 36.405448], [-86.560616, 35.994568]]]",negative
"[[[-81.507905, 28.388218], [-81.507905, 28.615139], [-81.22764, 28.615139], [-81.22764, 28.388218]]]",neutral
"[[[-85.884579, 38.25708], [-85.884579, 38.39041], [-85.760993, 38.39041], [-85.760993, 38.25708]]]",negative
"[[[-3.058666, 53.438332], [-3.058666, 53.501369], [-2.950246, 53.501369], [-2.950246, 53.438332]]]",positive
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",positive
"[[[-79.639319, 43.403221], [-79.639319, 43.855401], [-78.90582, 43.855401], [-78.90582, 43.403221]]]",neutral
"[[[-118.517358, 33.995177], [-118.517358, 34.050199], [-118.443482, 34.050199], [-118.443482, 33.995177]]]",positive
"[[[-71.084335, 42.917127], [-71.084335, 47.459687], [-66.885075, 47.459687], [-66.885075, 42.917127]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",negative
"[[[-85.605166, 30.355644], [-85.605166, 35.000771], [-80.742567, 35.000771], [-80.742567, 30.355644]]]",positive
"[[[-93.207783, 44.890752], [-93.207783, 44.992278999999996], [-93.003514, 44.992278999999996], [-93.003514, 44.890752]]]",negative
"[[[-83.126332, 42.475983], [-83.126332, 42.534826], [-83.084518, 42.534826], [-83.084518, 42.475983]]]",positive
"[[[-88.139804, 44.47174], [-88.139804, 44.574607], [-87.876593, 44.574607], [-87.876593, 44.47174]]]",positive
"[[[-88.139804, 44.47174], [-88.139804, 44.574607], [-87.876593, 44.574607], [-87.876593, 44.47174]]]",positive
"[[[-72.956119, 40.740523], [-72.956119, 40.766108], [-72.92877, 40.766108], [-72.92877, 40.740523]]]",negative
"[[[-87.940033, 41.644102], [-87.940033, 42.023067], [-87.523993, 42.023067], [-87.523993, 41.644102]]]",negative
"[[[-76.711521, 39.197211], [-76.711521, 39.372215], [-76.529443, 39.372215], [-76.529443, 39.197211]]]",negative
"[[[-86.97071, 40.013075], [-86.97071, 40.082025], [-86.852546, 40.082025], [-86.852546, 40.013075]]]",positive
"[[[-81.507905, 28.388218], [-81.507905, 28.615139], [-81.22764, 28.615139], [-81.22764, 28.388218]]]",neutral
"[[[-118.250227, 33.732905], [-118.250227, 33.885438], [-118.063194, 33.885438], [-118.063194, 33.732905]]]",positive
"[[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]",neutral
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",neutral
"[[[-93.205955, 35.220654], [-93.205955, 35.336506], [-93.056961, 35.336506], [-93.056961, 35.220654]]]",negative
"[[[-91.873169, 45.390435], [-91.873169, 45.41663], [-91.82742, 45.41663], [-91.82742, 45.390435]]]",positive
"[[[-73.83157, 41.138796], [-73.83157, 41.241611], [-73.729066, 41.241611], [-73.729066, 41.138796]]]",negative
"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",positive
"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",negative
"[[[-108.662336, 39.033602], [-108.662336, 39.149899], [-108.486897, 39.149899], [-108.486897, 39.033602]]]",negative
"[[[-73.503654, 40.761594], [-73.503654, 40.805439], [-73.444446, 40.805439], [-73.444446, 40.761594]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",negative
"[[[-73.727776, 40.950918], [-73.727776, 42.050588], [-71.78699399999999, 42.050588], [-71.78699399999999, 40.950918]]]",positive
"[[[-84.820309, 38.403186], [-84.820309, 42.327133], [-80.518626, 42.327133], [-80.518626, 38.403186]]]",negative
"[[[-158.200392, 21.428803], [-158.200392, 21.478996], [-158.145479, 21.478996], [-158.145479, 21.428803]]]",negative
"[[[-80.86569, 28.520735], [-80.86569, 28.648717], [-80.793083, 28.648717], [-80.793083, 28.520735]]]",positive
"[[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]]",negative
"[[[-93.161288, 34.442584], [-93.161288, 34.484225], [-93.107459, 34.484225], [-93.107459, 34.442584]]]",neutral
"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",positive
"[[[-83.051445, 7.20386], [-83.051445, 9.639486], [-77.13939, 9.639486], [-77.13939, 7.20386]]]",neutral
"[[[-118.395904, 34.075963], [-118.395904, 34.098056], [-118.343386, 34.098056], [-118.343386, 34.075963]]]",neutral
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",positive
"[[[-95.868576, 35.959581], [-95.868576, 36.11903], [-95.671814, 36.11903], [-95.671814, 35.959581]]]",negative
"[[[-75.891916, 40.32844], [-75.891916, 40.348198], [-75.865318, 40.348198], [-75.865318, 40.32844]]]",negative
"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",negative
"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",negative
"[[[-89.57151, 36.497129], [-89.57151, 39.147359], [-81.964971, 39.147359], [-81.964971, 36.497129]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",positive
"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",negative
"[[[-95.774704, 35.995476], [-95.774704, 40.613641], [-89.098843, 40.613641], [-89.098843, 35.995476]]]",neutral
"[[[-83.189851, 40.004114], [-83.189851, 40.077511], [-83.096934, 40.077511], [-83.096934, 40.004114]]]",positive
"[[[-158.200392, 21.428803], [-158.200392, 21.478996], [-158.145479, 21.478996], [-158.145479, 21.428803]]]",positive
"[[[-75.719751, 41.369442], [-75.719751, 41.469377], [-75.617789, 41.469377], [-75.617789, 41.369442]]]",negative
