coordinates,sentiment
"[[[-84.591846, 38.991867], [-84.591846, 39.029105], [-84.533385, 39.029105], [-84.533385, 38.991867]]]",neutral
"[[[-91.51308, 36.970298], [-91.51308, 42.508303], [-87.019935, 42.508303], [-87.019935, 36.970298]]]",negative
"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",negative
"[[[-84.820309, 38.403186], [-84.820309, 42.327133], [-80.518626, 42.327133], [-80.518626, 38.403186]]]",negative
"[[[-73.983266, 42.763657], [-73.983266, 42.842612], [-73.893018, 42.842612], [-73.893018, 42.763657]]]",positive
"[[[148.995922, -35.48026], [148.995922, -35.147699], [149.263643, -35.147699], [149.263643, -35.48026]]]",positive
"[[[-80.067777, 40.551872], [-80.067777, 40.615881], [-79.988308, 40.615881], [-79.988308, 40.551872]]]",negative
"[[[-71.191421, 42.227797], [-71.191421, 42.399542], [-70.986004, 42.399542], [-70.986004, 42.227797]]]",neutral
"[[[-1.308995, 52.346556], [-1.308995, 52.401973], [-1.1984569999999999, 52.401973], [-1.1984569999999999, 52.346556]]]",negative
"[[[-122.436232, 47.495315], [-122.436232, 47.734319], [-122.224973, 47.734319], [-122.224973, 47.495315]]]",neutral
"[[[-84.515906, 42.704505], [-84.515906, 42.788935], [-84.447347, 42.788935], [-84.447347, 42.704505]]]",positive
"[[[-76.952172, 39.215288], [-76.952172, 39.324062], [-76.763767, 39.324062], [-76.763767, 39.215288]]]",positive
"[[[-79.487651, 37.886607], [-79.487651, 39.723622], [-74.986286, 39.723622], [-74.986286, 37.886607]]]",negative
"[[[-82.908408, 26.917753], [-82.908408, 29.007965], [-81.539203, 29.007965], [-81.539203, 26.917753]]]",neutral
"[[[-77.221543, 38.875039], [-77.221543, 38.91083], [-77.183253, 38.91083], [-77.183253, 38.875039]]]",negative
"[[[-95.904492, 35.907134], [-95.904492, 36.017384], [-95.851283, 36.017384], [-95.851283, 35.907134]]]",negative
"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",positive
"[[[-71.608659, 42.366424], [-71.608659, 42.411814], [-71.483814, 42.411814], [-71.483814, 42.366424]]]",negative
"[[[-77.158594, 38.940225], [-77.158594, 39.022449], [-77.078411, 39.022449], [-77.078411, 38.940225]]]",negative
"[[[-122.514926, 37.708075], [-122.514926, 37.833238], [-122.357031, 37.833238], [-122.357031, 37.708075]]]",positive
"[[[-122.96154, 42.288726], [-122.96154, 42.398452], [-122.776437, 42.398452], [-122.776437, 42.288726]]]",positive
